modelo,r2,mae,granularidade,status
Rolling Window LightGBM,0.892,17.69,diário,✅ PRODUÇÃO
LightGBM otimizado,0.871,21.83,diário,baseline
N-HiTS recursivo,0.805,27.36,diário,deep learning
N-BEATS recursivo,0.787,30.1,diário,deep learning
CNN + BiLSTM,0.756,33.34,diário,deep learning
LSTM v2,0.664,38.75,diário,deep learning
TFT diário 2018-2024,0.459,43.97,diário,experimental
TFT série histórica 2007-2024,0.29,245.12,semanal,experimental
TFT multi-município 2018-2024,0.23,9.27,semanal,experimental
TFT série histórica com clima,0.174,257.02,semanal,experimental
TFT multi-município histórico,-0.169,13.74,semanal,experimental
