Horizonte,Estratégia,Período,Municipio,MAE,RMSE,R2,N,MAE_naive,MASE
h=1,Recursivo,Geral,Ambos,14.113,32.043,0.737,344,14.273,0.989
h=1,Direto,Geral,Ambos,14.556,31.943,0.740,342,14.208,1.025
h=1,Naïve,Geral,Ambos,14.273,25.831,0.829,344,14.273,1.000
h=1,MM4,Geral,Ambos,20.177,37.790,0.635,344,14.273,1.414
h=1,Recursivo,Geral,Cuiabá,10.911,20.020,0.842,172,12.686,0.860
h=1,Direto,Geral,Cuiabá,11.105,20.417,0.836,171,12.719,0.873
h=1,Naïve,Geral,Cuiabá,12.686,19.819,0.846,172,12.686,1.000
h=1,MM4,Geral,Cuiabá,18.368,31.343,0.614,172,12.686,1.448
h=1,Recursivo,Geral,Várzea Grande,17.315,40.654,0.684,172,15.860,1.092
h=1,Direto,Geral,Várzea Grande,18.007,40.297,0.691,171,15.696,1.147
h=1,Naïve,Geral,Várzea Grande,15.860,30.687,0.820,172,15.860,1.000
h=1,MM4,Geral,Várzea Grande,21.985,43.287,0.641,172,15.860,1.386
h=1,Recursivo,2023,Ambos,7.292,12.371,0.795,106,8.491,0.859
h=1,Direto,2023,Ambos,7.287,12.174,0.801,106,8.491,0.858
h=1,Naïve,2023,Ambos,8.491,12.573,0.788,106,8.491,1.000
h=1,MM4,2023,Ambos,10.927,17.149,0.606,106,8.491,1.287
h=1,Recursivo,2023,Cuiabá,7.130,11.057,0.858,53,9.283,0.768
h=1,Direto,2023,Cuiabá,7.647,11.578,0.845,53,9.283,0.824
h=1,Naïve,2023,Cuiabá,9.283,12.663,0.814,53,9.283,1.000
h=1,MM4,2023,Cuiabá,11.222,17.151,0.659,53,9.283,1.209
h=1,Recursivo,2023,Várzea Grande,7.453,13.558,0.691,53,7.698,0.968
h=1,Direto,2023,Várzea Grande,6.928,12.741,0.727,53,7.698,0.900
h=1,Naïve,2023,Várzea Grande,7.698,12.482,0.738,53,7.698,1.000
h=1,MM4,2023,Várzea Grande,10.632,17.146,0.505,53,7.698,1.381
h=1,Recursivo,2024,Ambos,16.055,25.143,0.721,104,18.654,0.861
h=1,Direto,2024,Ambos,16.918,26.421,0.692,104,18.654,0.907
h=1,Naïve,2024,Ambos,18.654,26.834,0.683,104,18.654,1.000
h=1,MM4,2024,Ambos,22.279,32.477,0.535,104,18.654,1.194
h=1,Recursivo,2024,Cuiabá,14.599,24.355,0.785,52,17.654,0.827
h=1,Direto,2024,Cuiabá,14.664,25.236,0.769,52,17.654,0.831
h=1,Naïve,2024,Cuiabá,17.654,26.063,0.753,52,17.654,1.000
h=1,MM4,2024,Cuiabá,21.255,30.991,0.651,52,17.654,1.204
h=1,Recursivo,2024,Várzea Grande,17.511,25.908,0.620,52,19.654,0.891
h=1,Direto,2024,Várzea Grande,19.171,27.555,0.570,52,19.654,0.975
h=1,Naïve,2024,Várzea Grande,19.654,27.583,0.570,52,19.654,1.000
h=1,MM4,2024,Várzea Grande,23.303,33.898,0.350,52,19.654,1.186
h=1,Recursivo,2025-2026,Ambos,18.001,44.990,0.713,134,15.448,1.165
h=1,Direto,2025-2026,Ambos,18.533,44.437,0.723,132,15.295,1.212
h=1,Naïve,2025-2026,Ambos,15.448,32.078,0.854,134,15.448,1.000
h=1,MM4,2025-2026,Ambos,25.862,51.136,0.629,134,15.448,1.674
h=1,Recursivo,2025-2026,Cuiabá,11.039,21.721,0.857,67,11.522,0.958
h=1,Direto,2025-2026,Cuiabá,11.079,21.694,0.858,66,11.591,0.956
h=1,Naïve,2025-2026,Cuiabá,11.522,18.823,0.893,67,11.522,1.000
h=1,MM4,2025-2026,Cuiabá,21.780,39.293,0.532,67,11.522,1.890
h=1,Recursivo,2025-2026,Várzea Grande,24.963,59.804,0.655,67,19.373,1.289
h=1,Direto,2025-2026,Várzea Grande,25.988,58.980,0.669,66,19.000,1.368
h=1,Naïve,2025-2026,Várzea Grande,19.373,41.275,0.836,67,19.373,1.000
h=1,MM4,2025-2026,Várzea Grande,29.944,60.712,0.645,67,19.373,1.546
h=2,Recursivo,Geral,Ambos,15.702,36.819,0.654,342,19.892,0.789
h=2,Direto,Geral,Ambos,16.969,34.118,0.704,340,19.765,0.859
h=2,Naïve,Geral,Ambos,19.892,36.461,0.661,342,19.892,1.000
h=2,MM4,Geral,Ambos,25.575,48.126,0.410,342,19.892,1.286
h=2,Recursivo,Geral,Cuiabá,12.375,23.452,0.784,171,18.211,0.680
h=2,Direto,Geral,Cuiabá,14.667,25.727,0.741,170,18.176,0.807
h=2,Naïve,Geral,Cuiabá,18.211,30.667,0.631,171,18.211,1.000
h=2,MM4,Geral,Cuiabá,23.690,39.688,0.383,171,18.211,1.301
h=2,Recursivo,Geral,Várzea Grande,19.029,46.489,0.587,171,21.573,0.882
h=2,Direto,Geral,Várzea Grande,19.272,40.819,0.684,170,21.353,0.903
h=2,Naïve,Geral,Várzea Grande,21.573,41.452,0.672,171,21.573,1.000
h=2,MM4,Geral,Várzea Grande,27.461,55.290,0.416,171,21.573,1.273
h=2,Recursivo,2023,Ambos,7.632,13.101,0.772,104,11.115,0.687
h=2,Direto,2023,Ambos,8.534,14.172,0.733,104,11.115,0.768
h=2,Naïve,2023,Ambos,11.115,17.974,0.571,104,11.115,1.000
h=2,MM4,2023,Ambos,13.394,20.916,0.419,104,11.115,1.205
h=2,Recursivo,2023,Cuiabá,7.753,12.212,0.829,52,10.904,0.711
h=2,Direto,2023,Cuiabá,9.347,13.856,0.779,52,10.904,0.857
h=2,Naïve,2023,Cuiabá,10.904,17.135,0.663,52,10.904,1.000
h=2,MM4,2023,Cuiabá,14.053,20.996,0.494,52,10.904,1.289
h=2,Recursivo,2023,Várzea Grande,7.511,13.932,0.676,52,11.327,0.663
h=2,Direto,2023,Várzea Grande,7.722,14.480,0.650,52,11.327,0.682
h=2,Naïve,2023,Várzea Grande,11.327,18.775,0.411,52,11.327,1.000
h=2,MM4,2023,Várzea Grande,12.736,20.835,0.275,52,11.327,1.124
h=2,Recursivo,2024,Ambos,17.209,26.586,0.688,104,23.644,0.728
h=2,Direto,2024,Ambos,18.674,27.912,0.657,104,23.644,0.790
h=2,Naïve,2024,Ambos,23.644,34.393,0.478,104,23.644,1.000
h=2,MM4,2024,Ambos,26.377,38.161,0.358,104,23.644,1.116
h=2,Recursivo,2024,Cuiabá,16.192,26.503,0.745,52,22.404,0.723
h=2,Direto,2024,Cuiabá,15.111,23.792,0.794,52,22.404,0.674
h=2,Naïve,2024,Cuiabá,22.404,32.676,0.612,52,22.404,1.000
h=2,MM4,2024,Cuiabá,26.659,36.960,0.504,52,22.404,1.190
h=2,Recursivo,2024,Várzea Grande,18.225,26.668,0.598,52,24.885,0.732
h=2,Direto,2024,Várzea Grande,22.238,31.498,0.439,52,24.885,0.894
h=2,Naïve,2024,Várzea Grande,24.885,36.028,0.266,52,24.885,1.000
h=2,MM4,2024,Várzea Grande,26.096,39.325,0.125,52,24.885,1.049
h=2,Recursivo,2025-2026,Ambos,20.796,52.707,0.606,134,23.791,0.874
h=2,Direto,2025-2026,Ambos,22.271,47.183,0.688,132,23.523,0.947
h=2,Naïve,2025-2026,Ambos,23.791,47.161,0.685,134,23.791,1.000
h=2,MM4,2025-2026,Ambos,34.407,66.644,0.370,134,23.791,1.446
h=2,Recursivo,2025-2026,Cuiabá,13.000,27.256,0.775,67,20.627,0.630
h=2,Direto,2025-2026,Cuiabá,18.509,33.281,0.667,66,20.576,0.900
