data_previsao,data_alvo,horizonte,municipio_id,y_real,y_pred_recursivo,y_naive,y_mm4,y_pred_direto,ano_alvo,periodo
2023-01-01,2023-01-01,1,5103403,9,5.123486631790905,2,1.0,3.384677480050888,2023,2023
2023-01-01,2023-01-01,1,5108402,3,0.5777099646958554,0,0.0,1.5179026567611706,2023,2023
2023-01-01,2023-01-08,2,5103403,19,10.53490199371319,2,1.0,5.692346525253305,2023,2023
2023-01-01,2023-01-08,2,5108402,1,0.8629943407799876,0,0.0,2.0089996845753526,2023,2023
2023-01-01,2023-01-15,3,5103403,16,17.128079013738482,2,1.0,12.729286090966868,2023,2023
2023-01-01,2023-01-15,3,5108402,4,1.7339045117408536,0,0.0,2.282815011269337,2023,2023
2023-01-01,2023-01-22,4,5103403,10,15.831152974283814,2,1.0,17.024447593430867,2023,2023
2023-01-01,2023-01-22,4,5108402,6,5.014426990774769,0,0.0,2.273622257719681,2023,2023
2023-01-08,2023-01-08,1,5103403,19,12.133191165398397,9,2.75,8.108885375947397,2023,2023
2023-01-08,2023-01-08,1,5108402,1,0.8294323408877051,3,0.75,1.7571281780299035,2023,2023
2023-01-08,2023-01-15,2,5103403,16,17.148752975650048,9,2.75,12.433355932542971,2023,2023
2023-01-08,2023-01-15,2,5108402,4,1.807155438199672,3,0.75,3.603618951950864,2023,2023
2023-01-08,2023-01-22,3,5103403,10,15.890796182447687,9,2.75,9.82024721104267,2023,2023
2023-01-08,2023-01-22,3,5108402,6,4.799922449822617,3,0.75,4.731258485762397,2023,2023
2023-01-08,2023-01-29,4,5103403,23,16.104272200650467,9,2.75,9.456417465578726,2023,2023
2023-01-08,2023-01-29,4,5108402,3,1.8829492325771509,3,0.75,4.3147522633882875,2023,2023
2023-01-15,2023-01-15,1,5103403,16,18.65806984876241,19,7.5,15.352983604816014,2023,2023
2023-01-15,2023-01-15,1,5108402,4,1.8210841979796868,1,1.0,4.947530806677512,2023,2023
2023-01-15,2023-01-22,2,5103403,10,17.50870994793701,19,7.5,21.756182439886565,2023,2023
2023-01-15,2023-01-22,2,5108402,6,5.285740226434417,1,1.0,3.5024446612359528,2023,2023
2023-01-15,2023-01-29,3,5103403,23,15.486423979808013,19,7.5,22.395851584987476,2023,2023
2023-01-15,2023-01-29,3,5108402,3,1.8548192880733043,1,1.0,7.341318519466052,2023,2023
2023-01-15,2023-02-05,4,5103403,46,24.06111746162738,19,7.5,45.22527883573291,2023,2023
2023-01-15,2023-02-05,4,5108402,12,7.8648128979745096,1,1.0,12.81126664742138,2023,2023
2023-01-22,2023-01-22,1,5103403,10,17.1779252846355,16,11.5,13.035015699669676,2023,2023
2023-01-22,2023-01-22,1,5108402,6,4.617798269153751,4,2.0,4.070362938909395,2023,2023
2023-01-22,2023-01-29,2,5103403,23,16.81813616621835,16,11.5,22.180449511876976,2023,2023
2023-01-22,2023-01-29,2,5108402,3,2.0200777847998643,4,2.0,2.9430018723956826,2023,2023
2023-01-22,2023-02-05,3,5103403,46,22.76156548289361,16,11.5,28.637315141074453,2023,2023
2023-01-22,2023-02-05,3,5108402,12,8.104352288266634,4,2.0,9.74815212394097,2023,2023
2023-01-22,2023-02-12,4,5103403,42,39.9086839800296,16,11.5,31.845161691372844,2023,2023
2023-01-22,2023-02-12,4,5108402,9,9.078010596470245,4,2.0,9.266777955205255,2023,2023
2023-01-29,2023-01-29,1,5103403,23,14.416556161002848,10,13.5,17.27318672148855,2023,2023
2023-01-29,2023-01-29,1,5108402,3,2.410623885462269,6,3.5,2.5347321564542202,2023,2023
2023-01-29,2023-02-05,2,5103403,46,22.93138991175517,10,13.5,19.875972900625452,2023,2023
2023-01-29,2023-02-05,2,5108402,12,8.995071954871984,6,3.5,12.345185581214762,2023,2023
2023-01-29,2023-02-12,3,5103403,42,33.62369752174009,10,13.5,21.343589178335108,2023,2023
2023-01-29,2023-02-12,3,5108402,9,9.95963879536372,6,3.5,7.0241138409877895,2023,2023
2023-01-29,2023-02-19,4,5103403,40,31.54621543867559,10,13.5,25.067440872984807,2023,2023
2023-01-29,2023-02-19,4,5108402,6,9.291412190047724,6,3.5,7.01590654805041,2023,2023
2023-02-05,2023-02-05,1,5103403,46,22.701691809568086,23,17.0,21.40068613260691,2023,2023
2023-02-05,2023-02-05,1,5108402,12,8.238961895827595,3,3.5,6.730607195621498,2023,2023
2023-02-05,2023-02-12,2,5103403,42,37.75488033389145,23,17.0,41.817382437758596,2023,2023
2023-02-05,2023-02-12,2,5108402,9,9.588260315016676,3,3.5,7.735564565084598,2023,2023
2023-02-05,2023-02-19,3,5103403,40,37.48625109788718,23,17.0,27.25749950980368,2023,2023
2023-02-05,2023-02-19,3,5108402,6,9.606079916495485,3,3.5,5.897175062841496,2023,2023
2023-02-05,2023-02-26,4,5103403,53,33.25529015698674,23,17.0,30.371501920416353,2023,2023
2023-02-05,2023-02-26,4,5108402,25,16.971786106657373,3,3.5,6.319332664799738,2023,2023
2023-02-12,2023-02-12,1,5103403,42,40.20306207251112,46,23.75,48.35906947095985,2023,2023
2023-02-12,2023-02-12,1,5108402,9,9.560037455687809,12,6.25,10.712284041066312,2023,2023
2023-02-12,2023-02-19,2,5103403,40,40.74760979689639,46,23.75,44.98620269963694,2023,2023
2023-02-12,2023-02-19,2,5108402,6,9.243063121238535,12,6.25,13.986144641626778,2023,2023
2023-02-12,2023-02-26,3,5103403,53,38.46617452659515,46,23.75,31.94981887341533,2023,2023
2023-02-12,2023-02-26,3,5108402,25,17.062684432258475,12,6.25,14.696194496892648,2023,2023
