feature,descricao,fonte,frequencia,lag_dias,imputacao,unidade,intervalo,no_modelo,motivo
temp_media,Temperatura média diária,INMET A901,diário,0,interpolação linear,°C,"[10, 45]",sim,feature preditiva selecionada
temp_max,Temperatura máxima diária,INMET A901,diário,0,interpolação linear,°C,"[15, 50]",sim,feature preditiva selecionada
temp_min,Temperatura mínima diária,INMET A901,diário,0,interpolação linear,°C,"[5, 40]",sim,feature preditiva selecionada
precipitacao_total,Precipitação total diária,INMET A901,diário,0,zero (sem chuva),mm,"[0, 200]",sim,feature preditiva selecionada
umidade_media,Umidade relativa média diária,INMET A901,diário,0,interpolação linear,%,"[10, 100]",sim,feature preditiva selecionada
umidade_max,Umidade relativa máxima diária,INMET A901,diário,0,interpolação linear,%,"[10, 100]",sim,feature preditiva selecionada
umidade_min,Umidade relativa mínima diária,INMET A901,diário,0,interpolação linear,%,"[10, 100]",sim,feature preditiva selecionada
amplitude_termica,Amplitude térmica diária (max-min),INMET A901,diário,0,calculado,°C,"[0, 30]",sim,feature preditiva selecionada
dias_sem_chuva,Dias consecutivos sem precipitação,INMET A901,diário,0,calculado,dias,"[0, 365]",sim,feature preditiva selecionada
radiacao_mj,Radiação solar superficial diária,NASA POWER API,diário,0,interpolação linear,MJ/m²,"[0, 35]",sim,feature preditiva selecionada
ndvi,Índice de vegetação (Sentinel-2+MODIS blend),GEE Sentinel-2/MODIS,mensal,0,média sazonal,"[-1,1]","[-1, 1]",sim,feature preditiva selecionada
ndwi,Índice de água (Sentinel-2+MODIS blend),GEE Sentinel-2/MODIS,mensal,0,média sazonal,"[-1,1]","[-1, 1]",sim,feature preditiva selecionada
ndbi_gee,Índice de urbanização (Sentinel-2),GEE Sentinel-2,mensal,0,interpolação linear,"[-1,1]","[-1, 1]",sim,feature preditiva selecionada
oni_index,Índice Oceânico El Niño (ENSO),NOAA ONI,mensal,0,forward fill,°C,"[-3, 3]",sim,feature preditiva selecionada
fase_enso_num,Fase ENSO codificada numericamente,NOAA ONI,mensal,0,forward fill,"{-1,0,1}","[-1, 1]",sim,feature preditiva selecionada
trends_lag_7d,"Interesse ""dengue"" Google Trends lag 7d",Google Trends,semanal,7,forward fill,"[0,100]","[0, 100]",sim,feature preditiva selecionada
trends_lag_14d,"Interesse ""dengue"" Google Trends lag 14d",Google Trends,semanal,14,forward fill,"[0,100]","[0, 100]",sim,feature preditiva selecionada
trends_lag_21d,"Interesse ""dengue"" Google Trends lag 21d",Google Trends,semanal,21,forward fill,"[0,100]","[0, 100]",sim,feature preditiva selecionada
