feature,shap_mean_abs,horizonte,label
casos_mm4,0.6923134380366591,1,Casos MM4
notif_acum_ano_lag1,0.06907401223298877,1,notif_acum_ano_lag1
casos_lag1,0.06358569417994529,1,Casos (lag 1 SE)
trends_lag1,0.052946765578082346,1,trends_lag1
temp_media_mm8,0.04653165472939251,1,temp_media_mm8
temp_media_lag4,0.046259236244966265,1,temp_media_lag4
temp_max_lag2,0.04433004312289953,1,temp_max_lag2
temp_media_lag3,0.04390018067337131,1,temp_media_lag3
oni_lag4,0.04280297885515132,1,oni_lag4
trends_lag2,0.03976589883943374,1,trends_lag2
temp_min_lag2,0.03726284886415117,1,temp_min_lag2
temp_media_lag1,0.03573961258139967,1,temp_media_lag1
rt_index_lag1,0.03535945204773215,1,rt_index_lag1
umidade_lag1,0.0327191445556527,1,umidade_lag1
umidade_lag2,0.03253606028317242,1,umidade_lag2
precip_lag3,0.030260206112615123,1,precip_lag3
nivel_alerta_lag1,0.02991628563430645,1,nivel_alerta_lag1
prob_rt_maior_1_lag1,0.028997246010601194,1,prob_rt_maior_1_lag1
temp_max_lag1,0.028934057463456314,1,temp_max_lag1
temp_media_lag2,0.027017837814063736,1,temp_media_lag2
casos_lag4,0.026640439357326226,1,Casos (lag 4 SE)
casos_lag3,0.026622060119465687,1,casos_lag3
precip_acum8,0.02481478127836352,1,precip_acum8
temp_min_lag1,0.023753955773532974,1,temp_min_lag1
temp_media_mm4,0.023249444027501075,1,temp_media_mm4
casos_lag2,0.02227255755774197,1,Casos (lag 2 SE)
oni_lag8,0.020696771438839343,1,oni_lag8
precip_lag1,0.020613865502004437,1,precip_lag1
umidade_nasa_lag1,0.019631754319270493,1,umidade_nasa_lag1
oni_lag6,0.01907856943484147,1,oni_lag6
precip_lag4,0.01788482838729423,1,precip_lag4
precip_lag2,0.01693177341105857,1,precip_lag2
radiacao_lag2,0.016738084319645786,1,radiacao_lag2
radiacao_lag1,0.01664111949331176,1,radiacao_lag1
precip_acum4,0.015825891658719147,1,precip_acum4
umidade_nasa_lag2,0.0140175351417497,1,umidade_nasa_lag2
populacao,0.006158648653526997,1,População
receptivo_lag1,0.002272527691263842,1,receptivo_lag1
transmissao_lag1,0.0,1,transmissao_lag1
ndvi_lag4,0.0,1,ndvi_lag4
evi_lag2,0.0,1,evi_lag2
ndvi_lag2,0.0,1,ndvi_lag2
fase_enso_num_lag6,0.0,1,fase_enso_num_lag6
fase_enso_num_lag4,0.0,1,fase_enso_num_lag4
ndvi_lag3,0.0,1,ndvi_lag3
evi_lag3,0.0,1,evi_lag3
casos_mm4,0.6680832489799352,2,Casos MM4
notif_acum_ano_lag1,0.11030736109339741,2,notif_acum_ano_lag1
