feature,shap_mean,shap_pct,rank
casos_mm4,0.6896524020213252,46.48,1
casos_lag1,0.14142741002321824,9.53,2
casos_lag2,0.08693617782417655,5.86,3
trends_lag2,0.0710450672392138,4.79,4
casos_lag3,0.05875572455465712,3.96,5
temp_media_mm8,0.028262133867654627,1.9,6
umidade_lag2,0.024803698281805914,1.67,7
radiacao_lag1,0.0212682372548332,1.43,8
oni_lag4,0.019544345077634234,1.32,9
oni_lag8,0.01954292937254877,1.32,10
rt_index_lag1,0.018432436889809032,1.24,11
temp_min_lag2,0.018209286059758314,1.23,12
radiacao_lag2,0.01814938055124055,1.22,13
temp_media_mm4,0.017245274145218148,1.16,14
prob_rt_maior_1_lag1,0.016867991439488302,1.14,15
temp_media_lag4,0.016327160948589783,1.1,16
casos_lag4,0.016101055056778002,1.09,17
precip_lag3,0.01517973925710958,1.02,18
trends_lag1,0.015105582213080943,1.02,19
temp_max_lag1,0.01504119292530466,1.01,20
temp_max_lag2,0.01334010446585362,0.9,21
precip_lag4,0.013140540006901125,0.89,22
umidade_lag1,0.012566620483443047,0.85,23
precip_lag2,0.012328202774210597,0.83,24
temp_media_lag3,0.011512775814602636,0.78,25
precip_lag1,0.011247476292785361,0.76,26
notif_acum_ano_lag1,0.010743464036200008,0.72,27
precip_acum4,0.010440310669407721,0.7,28
temp_media_lag2,0.010050289265710116,0.68,29
umidade_nasa_lag2,0.009757149917032075,0.66,30
temp_media_lag1,0.008515253021945845,0.57,31
precip_acum8,0.008123218203978351,0.55,32
temp_min_lag1,0.007919512250333008,0.53,33
umidade_nasa_lag1,0.007404340320663344,0.5,34
oni_lag6,0.0031820805472276242,0.21,35
populacao,0.002379372803593169,0.16,36
transmissao_lag1,0.000973136198486639,0.07,37
nivel_alerta_lag1,0.0008039076986242588,0.05,38
fase_enso_num_lag6,0.0006772532885942701,0.05,39
receptivo_lag1,0.0005734249889058566,0.04,40
fase_enso_num_lag4,0.0003233681414720949,0.02,41
ndvi_lag2,0.0,0.0,42
evi_lag2,0.0,0.0,43
ndvi_lag4,0.0,0.0,44
ndvi_lag3,0.0,0.0,45
evi_lag3,0.0,0.0,46
